CAND_NAME,Amount,CAND_ID,PTY,OFFICE
10.26.52.169,19582815,0,DEM,S
10.59.45.180,7169329890,1,DEM,S
10.59.223.26,480367534,2,DEM,S
10.59.223.66,724976196,3,DEM,S
10.24.47.157,9738208,4,DEM,S
10.59.81.213,176315353,5,DEM,S
10.59.22.82,9560063,6,DEM,S
10.59.174.187,4568519,7,DEM,S
10.26.52.84,4322908,8,DEM,S
10.59.223.31,5580315,9,DEM,S
10.59.253.58,96274328,10,DEM,S
10.26.52.237,2841242,11,DEM,S
10.26.52.55,2804851,12,DEM,S
10.26.52.183,2716698,13,DEM,S
10.26.52.162,3180568,14,DEM,S
10.59.174.170,2818753,15,DEM,S
10.59.174.62,9539696,16,DEM,S
10.14.252.143,80531176,17,DEM,S
10.59.137.255,47174839,18,DEM,S
10.59.207.218,957824653,19,DEM,S
10.41.27.230,2553710,20,DEM,S
10.59.223.172,33198792,21,DEM,S
10.59.174.143,1438633,22,DEM,S
10.50.185.170,4145591,23,DEM,S
10.26.52.120,1309130,24,DEM,S
10.59.253.170,780004962,25,DEM,S
10.34.143.103,2226054,26,DEM,S
10.59.253.48,1340009,27,DEM,S
10.59.88.121,26578429,28,DEM,S
10.41.242.201,217084,29,DEM,S
10.59.34.15,1660943,30,DEM,S
10.19.172.148,868780,31,DEM,S
10.59.45.122,22822091,32,DEM,S
10.65.221.150,1183298,33,DEM,S
10.24.32.70,42217236,34,DEM,S
10.41.68.117,33549797,35,DEM,S
10.41.73.100,1183839,36,DEM,S
10.28.52.151,2202028,37,DEM,S
10.28.52.233,2170534,38,DEM,S
10.28.160.160,1140996,39,DEM,S
10.65.117.39,1138578,40,DEM,S
10.65.117.184,1107396,41,DEM,S
10.41.11.98,5726839,42,DEM,S
10.19.240.213,397761385,43,DEM,S
10.59.126.85,643731,44,DEM,S
10.32.170.23,33940809,45,DEM,S
10.32.170.198,34203392,46,DEM,S
10.59.223.186,61688539,47,DEM,S
10.59.253.157,40233252,48,DEM,S
10.59.253.30,718032,49,DEM,S
10.99.216.254,10514252,50,DEM,S
10.59.223.59,10351443,51,DEM,S
10.16.249.11,1205240,52,DEM,S
10.59.216.254,8359129,53,DEM,S
10.16.249.62,1264366,54,DEM,S
10.59.255.110,10006566,55,DEM,S
10.46.24.248,690955,56,DEM,S
10.34.143.65,656985,57,DEM,S
10.41.141.77,19281620,58,DEM,S
10.41.141.51,19095196,59,DEM,S
10.28.196.177,610186,60,DEM,S
10.41.141.181,17097251,61,DEM,S
10.41.141.9,17368815,62,DEM,S
10.41.141.163,17493105,63,DEM,S
10.59.174.4,564150,64,DEM,S
10.45.91.75,70857,65,DEM,S
10.59.137.187,209195299,66,DEM,S
10.59.81.227,25030776,67,DEM,S
10.30.172.236,728089,68,DEM,S
10.46.207.253,399458,69,DEM,S
10.42.99.20,386680,70,DEM,S
10.99.216.132,4969904,71,DEM,S
10.31.68.144,12939339,72,DEM,S
10.41.18.35,1299845,73,DEM,S
10.31.68.9,12239961,74,DEM,S
10.31.68.27,12162232,75,DEM,S
10.31.68.77,11310178,76,DEM,S
10.31.68.107,10439572,77,DEM,S
10.31.68.242,11620364,78,DEM,S
10.31.68.103,11610997,79,DEM,S
10.59.137.52,5493542,80,DEM,S
10.59.126.199,12269482,81,DEM,S
10.32.170.99,10037194,82,DEM,S
10.41.153.124,3187331,83,DEM,S
10.62.35.233,12113594,84,DEM,S
10.37.125.90,8653036,85,DEM,S
10.37.125.187,7315444,86,DEM,S
10.34.38.92,6927848,87,DEM,S
10.34.38.202,7258637,88,DEM,S
10.28.15.69,6340123,89,DEM,S
10.64.181.197,196763,90,DEM,S
10.59.81.153,2760891,91,DEM,S
10.34.38.206,6197342,92,DEM,S
10.41.242.118,33005,93,DEM,S
10.37.68.64,952456,94,DEM,S
10.28.15.63,6189749,95,DEM,S
10.28.15.95,6031215,96,DEM,S
10.37.125.13,5724659,97,DEM,S
10.41.80.139,869323,98,DEM,S
10.28.15.22,5633732,99,DEM,S
10.73.244.80,149347801,100,DEM,S
10.42.244.94,82144301,101,DEM,S
10.19.66.219,63962279,102,DEM,S
10.59.180.205,51576692,103,DEM,S
10.59.137.214,50118725,104,DEM,S
10.59.137.117,43840796,105,DEM,S
10.59.223.142,38089480,106,DEM,S
10.76.90.35,27875229,107,DEM,S
10.59.137.235,25902391,108,DEM,S
10.17.181.141,24292620,109,DEM,S
10.45.32.237,24044040,110,DEM,S
10.24.53.124,21619885,111,DEM,S
10.59.137.72,21572807,112,DEM,S
10.66.146.208,19761618,113,DEM,S
10.66.233.170,17586835,114,DEM,S
10.59.126.220,17542129,115,DEM,S
10.59.126.7,13706731,116,DEM,S
10.59.253.102,13096924,117,DEM,S
10.59.180.143,12773356,118,DEM,S
10.59.223.221,12625057,119,DEM,S
10.59.20.203,12161082,120,DEM,S
10.59.20.39,11717253,121,DEM,S
10.59.20.74,11467798,122,DEM,S
10.59.20.92,11175941,123,DEM,S
10.59.20.136,10994419,124,DEM,S
10.59.20.51,10483500,125,DEM,S
10.59.253.115,10215265,126,DEM,S
10.59.88.194,9775545,127,DEM,S
10.59.20.191,9757856,128,DEM,S
10.59.20.14,9470681,129,DEM,S
10.59.253.128,8234897,130,DEM,S
10.59.216.118,8139011,131,DEM,S
10.59.81.129,7743378,132,DEM,S
10.59.81.157,7549500,133,DEM,S
