origin,protocol,count
Client-Client(Upload),afp,198
Client-Client(Upload),bittorrent,1558075495
Client-Client(Upload),dce_rpc,17738414
Client-Client(Upload),dns,141997
Client-Client(Upload),edonkey,142323
Client-Client(Upload),ftp_control,915514
Client-Client(Upload),ftp_data,266532005
Client-Client(Upload),h323,85757
Client-Client(Upload),http,3170842942
Client-Client(Upload),http_connect,1067686
Client-Client(Upload),http_proxy,43866021
Client-Client(Upload),imap,83933
Client-Client(Upload),imaps,966338
Client-Client(Upload),imesh,90053
Client-Client(Upload),irc,702
Client-Client(Upload),kerberos,817169
Client-Client(Upload),ldap,4218123
Client-Client(Upload),lotusnotes,720
Client-Client(Upload),mssql,1332
Client-Client(Upload),mysql,22132926
Client-Client(Upload),netbios,1578473
Client-Client(Upload),nfs,516
Client-Client(Upload),oracle,810
Client-Client(Upload),pando_media_booster,11514
Client-Client(Upload),pcanywhere,2516
Client-Client(Upload),pop3,9610
Client-Client(Upload),pops,21017
Client-Client(Upload),postgresql,13344
Client-Client(Upload),pptp,324
Client-Client(Upload),qq,35738
Client-Client(Upload),rdp,567014
Client-Client(Upload),redis,3138608
Client-Client(Upload),rsync,1739
Client-Client(Upload),rtmp,71136
Client-Client(Upload),sip,10844
Client-Client(Upload),smb,24598607
Client-Client(Upload),smtp,748524
Client-Client(Upload),smtps,13770
Client-Client(Upload),ssh,3629041673
Client-Client(Upload),ssl,428622786
Client-Client(Upload),ssl_no_cert,98265
Client-Client(Upload),steam,206
Client-Client(Upload),stun,16076106
Client-Client(Upload),tds,89309
Client-Client(Upload),teamspeak,107
Client-Client(Upload),teamviewer,5857
Client-Client(Upload),telnet,50578
Client-Client(Upload),thunder,593143
Client-Client(Upload),unencryped_jabber,432751
Client-Client(Upload),unknown,2009618112
Client-Client(Upload),WhatsApp,122067
Client-Client(Upload),whois-das,18211
Client-Server(Upload),afp,0
Client-Server(Upload),bittorrent,0
Client-Server(Upload),dce_rpc,0
Client-Server(Upload),dns,0
Client-Server(Upload),edonkey,0
Client-Server(Upload),ftp_control,0
Client-Server(Upload),ftp_data,0
Client-Server(Upload),h323,0
Client-Server(Upload),http,48817426
Client-Server(Upload),http_connect,20774316
Client-Server(Upload),http_proxy,28064969
Client-Server(Upload),imap,0
Client-Server(Upload),imaps,0
Client-Server(Upload),imesh,0
Client-Server(Upload),irc,0
Client-Server(Upload),kerberos,0
Client-Server(Upload),ldap,0
Client-Server(Upload),lotusnotes,0
Client-Server(Upload),mssql,0
Client-Server(Upload),mysql,444478224
Client-Server(Upload),netbios,0
Client-Server(Upload),nfs,0
Client-Server(Upload),oracle,0
Client-Server(Upload),pando_media_booster,0
Client-Server(Upload),pcanywhere,0
Client-Server(Upload),pop3,0
Client-Server(Upload),pops,0
Client-Server(Upload),postgresql,0
Client-Server(Upload),pptp,0
Client-Server(Upload),qq,0
Client-Server(Upload),rdp,0
Client-Server(Upload),redis,0
Client-Server(Upload),rsync,0
Client-Server(Upload),rtmp,0
Client-Server(Upload),sip,0
Client-Server(Upload),smb,0
Client-Server(Upload),smtp,0
Client-Server(Upload),smtps,0
Client-Server(Upload),ssh,5479929
Client-Server(Upload),ssl,8212249
Client-Server(Upload),ssl_no_cert,0
Client-Server(Upload),steam,0
Client-Server(Upload),stun,0
Client-Server(Upload),tds,0
Client-Server(Upload),teamspeak,0
Client-Server(Upload),teamviewer,0
Client-Server(Upload),telnet,0
Client-Server(Upload),thunder,0
Client-Server(Upload),unencryped_jabber,0
Client-Server(Upload),unknown,1038331
Client-Server(Upload),WhatsApp,0
Client-Server(Upload),whois-das,0
Server-Server(Upload),afp,0
Server-Server(Upload),bittorrent,0
Server-Server(Upload),dce_rpc,0
Server-Server(Upload),dns,0
Server-Server(Upload),edonkey,0
Server-Server(Upload),ftp_control,0
Server-Server(Upload),ftp_data,0
Server-Server(Upload),h323,0
Server-Server(Upload),http,10031686
Server-Server(Upload),http_connect,0
Server-Server(Upload),http_proxy,0
Server-Server(Upload),imap,0
Server-Server(Upload),imaps,0
Server-Server(Upload),imesh,0
Server-Server(Upload),irc,0
